Source,Target,Collaborations,Weight,Publication Type,Publication Name,Publication Date,Title,Co-authors,Keywords
ndos0461,raob0189,1,0.25,Journal article,British Journal of Cancer,29/01/2013,Histone deacetylase inhibitors as radiosensitisers: effects on DNA damage signalling and repair.,"Groselj B,Sharma NL,Hamdy FC,Kerr M,Kiltie AE","Clinical Trials as Topic,Combined Modality Therapy,DNA Damage,DNA Repair,Histone Deacetylase Inhibitors,Humans,Neoplasms,Radiation-Sensitizing Agents,Signal Transduction"
clme0301,path0084,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
clme0667,donc0120,2,0.14358974358974358,Journal article|Conference paper,Radiotherapy and Oncology|Journal of Clinical Oncology,|20/05/2015,"ARCII: A phase II trial of the HIV protease inhibitor Nelfinavir in combination with chemoradiation for locally advanced inoperable pancreatic cancer.|ARCII: Nelfinavir, a hypoxia-modifying agent, in combination with chemoradiotherapy (CRT) in locally-advanced pancreatic cancer (LAPC)-Mechanism and clinical outcomes.","Wilson JM,Fokas E,Dutton SJ,Patel N,Hawkins MA,Eccles C,Chu KY,Durrant L,Abraham AG,Partridge M,Woodward M,O'Neill E,Maughan T,McKenna WG,Mukherjee S,Brunner TB|Wilson JM,Dutton SJ,Hackett SL,Durrant L,Chu K-Y,Eccles C,Abraham AG,O'Neill E,Partridge M,Hawkins MA,McKenna WG,Maughan T,Brunner TB,Mukherjee S",|
cschof,univ0247,1,0.125,Journal article,Proteomics,05/06/2015,Expanding the yeast protein arginine methylome.,"Plank M,Fischer R,Geoghegan V,Charles PD,Konietzny R,Acuto O,Pears C,Schofield CJ,Kessler BM","Arginine,Saccharomyces cerevisiae Proteins,Proteome,Isotope Labeling,Systems Biology,Amino Acid Sequence,Methylation,Molecular Sequence Data,Tandem Mass Spectrometry"
gree0184,stat0004,1,0.013888888888888888,Journal article,Nature Genetics,01/01/2011,A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease.,"Peden JF,Hopewell JC,Saleheen D,Chambers JC,Hager J,Soranzo N,Collins R,Danesh J,Elliott P,Farrall M,Stirrups K,Zhang W,Hamsten A,Parish S,Lathrop M,Watkins H,Clarke R,Deloukas P,Kooner JS,Goel A,Ongen H,Strawbridge RJ,Heath S,Mal̈arstig A,Helgadottir A,Öhrvik J,Murtaza M,Potter S,Hunt SE,Delepine M,Jalilzadeh S,Axelsson T,Syvanen AC,Gwilliam R,Bumpstead S,Gray E,Edkins S,Folkersen L,Kyriakou T,Franco-Cereceda A,Gabrielsen A,Seedorf U,Eriksson P,Offer A,Bowman L,Sleight P,Armitage J,Peto R,Abecasis G,Ahmed N,Caulfield M,Donnelly P,Froguel P,Kooner AS,McCarthy MI,Samani NJ,Scott J,Sehmi J,Silveira A,Hellánius ML,Van 'T Hooft FM,Olsson G,Rust S,Assmann G,Barlera S,Tognoni G,Franzosi MG,Linksted P,Green FR,Rasheed A,Zaidi M,Shah N,Samuel M","ADAM Proteins,Adult,Aged,Asian Continental Ancestry Group,Case-Control Studies,Coronary Artery Disease,European Continental Ancestry Group,Female,Genetic Predisposition to Disease,Genome-Wide Association Study,Humans,Lymphokines,Male,Middle Aged,Oligonucleotide Array Sequence Analysis,Platelet-Derived Growth Factor,Polymorphism,Single Nucleotide,Quantitative Trait Loci,Sterol Esterase,Transcription Factors"
clar0295,raob0128,1,0.030303030303030304,Journal article,Physical Review Special Topics: Accelerators and Beams,11/03/2013,Conceptual design of a nonscaling fixed field alternating gradient accelerator for protons and carbon ions for charged particle therapy,"Peach KJ,Aslaninejad M,Barlow RJ,Beard CD,Bliss N,Cobb JH,Easton MJ,Edgecock TR,Fenning R,Gardner ISK,Hill MA,Owen HL,Johnstone CJ,Jones B,Jones T,Kelliher DJ,Khan A,Machida S,McIntosh PA,Pattalwar S,Pasternak J,Pozimski J,Prior CR,Rochford J,Rogers CT,Seviour R,Sheehy SL,Smith SL,Strachan J,Tygier S,Vojnovic B,Wilson P,Witte H,Yokoi T",
donc0120,xxxx0009,6,1.626190476190476,Journal article|Journal article|Poster|Journal article|Poster|Journal article,International Journal of Radiation: Oncology - Biology - Physics|Clinical Oncology|Medical Physics|Radiation Oncology|Medical Physics|Radiation Oncology,01/10/2014|03/07/2014|01/06/2015|01/01/2014|01/06/2015|23/12/2014,Radiobiological determination of dose escalation and normal tissue toxicity in definitive chemoradiation therapy for esophageal cancer.|The application of functional imaging techniques to personalise chemoradiotherapy in upper gastrointestinal malignancies.|SU-E-T-69: A Radiobiological Investigation of Dose Escalation in Lower Oesophageal Tumours with a Focus On Gastric Toxicity.|Challenges in using ¹⁸F-fluorodeoxyglucose-PET-CT to define a biological radiotherapy boost volume in locally advanced pancreatic cancer.|TH-AB-BRB-11: A Method of Unwrapping 3D Complex Hollow Organs for Spatial Dose Surface Analysis.|Comparison of Acuros (AXB) and Anisotropic Analytical Algorithm (AAA) for dose calculation in treatment of oesophageal cancer: effects on modelling tumour control probability.,"Warren S,Partridge M,Carrington R,Hurt C,Crosby T,Hawkins MA|Wilson JM,Partridge M,Hawkins M|Carrington R,Staffurth J,Warren S,Partridge M,Spezi E,Gwynne S,Hawkins M,Crosby T|Wilson JM,Mukherjee S,Chu KY,Brunner TB,Partridge M,Hawkins M|Witztum A,Warren S,Partridge M,Hawkins MA|Padmanaban S,Warren S,Walsh A,Partridge M,Hawkins MA","Lung,Heart,Humans,Esophageal Neoplasms,Dose Fractionation,Tumor Burden,Probability,Feasibility Studies,Models,Biological,Organs at Risk,Chemoradiotherapy|Humans,Gastrointestinal Neoplasms,Fluorodeoxyglucose F18,Radiopharmaceuticals,Positron-Emission Tomography,Tomography,X-Ray Computed,Individualized Medicine,Chemoradiotherapy||Humans,Adenocarcinoma,Pancreatic Neoplasms,Cisplatin,Fluorodeoxyglucose F18,Deoxycytidine,Antineoplastic Combined Chemotherapy Protocols,Radiopharmaceuticals,Positron-Emission Tomography,Tomography,X-Ray Computed,Neoplasm Staging,Prognosis,Radiotherapy Dosage,Radiotherapy Planning,Computer-Assisted,Follow-Up Studies,Clinical Trials,Phase II as Topic,Chemoradiotherapy,Multimodal Imaging||Humans,Esophageal Neoplasms,Tomography,X-Ray Computed,Radiotherapy Dosage,Radiotherapy Planning,Computer-Assisted,Probability,Retrospective Studies,Radiometry,Algorithms,Radiotherapy,Intensity-Modulated,Organs at Risk"
immd0100,immd0198,2,0.18803418803418803,Journal article|Conference paper,PLoS Pathogens|Lancet,01/05/2011|27/02/2013,The Antiviral Efficacy of HIV-Specific CD8+ T-Cells to a Conserved Epitope is Heavilydependent on the Infecting HIV-1 Isolate|Antigen-sensitive CD8 T-cell clones with tough HIV-1 suppression,"Ranasinghe SRF,Kramer HB,Wright C,Kessler BM,di Gleria K,Zhang Y,Gillespie GM,Blais ME,Culshaw A,Pichulik T,Simmons A,Rowland-Jones SL,McMichael AJ,Dong T|Glanville JM,Taylor S,Baban D,Gillespie G,Easterbrook P,Stewart-Jones G,Simmons A,Rowland-Jones S,Dong T,McMichael A",|
card0008,card0027,3,0.22549019607843135,Journal article|Journal article|Journal article,Genetics in Medicine|PLoS One|Mammalian Genome,21/05/2015|01/01/2012|27/04/2012,Exome sequencing identifies rare variants in multiple genes in atrioventricular septal defect.|Functional significance of SRJ domain mutations in CITED2.|Nprl3 is required for normal development of the cardiovascular system.,"D'Alessandro LC,Al Turki S,Manickaraj AK,Manase D,Mulder BJ,Bergin L,Rosenberg HC,Mondal T,Gordon E,Lougheed J,Smythe J,Devriendt K,Bhattacharya S,Watkins H,Bentham J,Bowdin S,Hurles ME,Mital S|Chen CM,Bentham J,Cosgrove C,Braganca J,Cuenda A,Bamforth SD,Schneider JE,Watkins H,Keavney B,Davies B,Bhattacharya S|Kowalczyk MS,Hughes JR,Babbs C,Sanchez-Pulido L,Szumska D,Sharpe JA,Sloane-Stanley JA,Morriss-Kay GM,Smoot LB,Roberts AE,Watkins H,Bhattacharya S,Gibbons RJ,Ponting CP,Wood WG,Higgs DR","|Alleles,Amino Acid Sequence,Amino Acid Substitution,Animals,Case-Control Studies,Cell Proliferation,Embryo,Mammalian,Embryonic Stem Cells,Enzyme Activation,Heart Defects,Congenital,Humans,Leukemia Inhibitory Factor,MAP Kinase Signaling System,Mice,Mitogen-Activated Protein Kinase 1,Molecular Sequence Data,Mutant Proteins,Mutation,Phosphorylation,Protein Structure,Tertiary,Repressor Proteins,Structure-Activity Relationship,Trans-Activators,Transcription Factor AP-2,Transcriptional Activation|Abnormalities,Multiple,Amino Acid Sequence,Animals,Cardiovascular System,Cells,Cultured,DNA Mutational Analysis,Female,GTPase-Activating Proteins,Gene Expression Profiling,Genetic Association Studies,Heart Defects,Congenital,Humans,Intracellular Signaling Peptides and Proteins,Male,Mice,Knockout,Molecular Sequence Annotation,Molecular Sequence Data,Myocardium,Nuclear Proteins,Phenotype,Polymorphism,Single Nucleotide,Promoter Regions,Genetic"
immd0100,path0642,1,0.1,Journal article,Science Signaling,01/01/2011,Antigen potency and maximal efficacy reveal a mechanism of efficient T cell activation.,"Dushek O,Aleksic M,Wheeler RJ,Zhang H,Cordoba SP,Peng YC,Chen JL,Cerundolo V,Dong T,Coombs D,van der Merwe PA","Adaptive Immunity,Animals,Antigens,Humans,Lymphocyte Activation,Mice,Models,Chemical,T-Lymphocytes,Cytotoxic,Thermodynamics"
card0027,gree0184,2,0.04614695340501792,Journal article|Journal article,PLoS Medicine|Nature Genetics,01/02/2012|01/01/2011,"Homocysteine and coronary heart disease: meta-analysis of MTHFR case-control studies, avoiding publication bias.|A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease.","Clarke R,Bennett DA,Parish S,Verhoef P,Dötsch-Klerk M,Lathrop M,Xu P,Nordestgaard BG,Holm H,Hopewell JC,Saleheen D,Tanaka T,Anand SS,Chambers JC,Kleber ME,Ouwehand WH,Yamada Y,Elbers C,Peters B,Stewart AF,Reilly MM,Thorand B,Yusuf S,Engert JC,Assimes TL,Kooner J,Danesh J,Watkins H,Samani NJ,Collins R,Peto R,MTHFR Studies Collaborative Group|Peden JF,Hopewell JC,Saleheen D,Chambers JC,Hager J,Soranzo N,Collins R,Danesh J,Elliott P,Farrall M,Stirrups K,Zhang W,Hamsten A,Parish S,Lathrop M,Watkins H,Clarke R,Deloukas P,Kooner JS,Goel A,Ongen H,Strawbridge RJ,Heath S,Mal̈arstig A,Helgadottir A,Öhrvik J,Murtaza M,Potter S,Hunt SE,Delepine M,Jalilzadeh S,Axelsson T,Syvanen AC,Gwilliam R,Bumpstead S,Gray E,Edkins S,Folkersen L,Kyriakou T,Franco-Cereceda A,Gabrielsen A,Seedorf U,Eriksson P,Offer A,Bowman L,Sleight P,Armitage J,Peto R,Abecasis G,Ahmed N,Caulfield M,Donnelly P,Froguel P,Kooner AS,McCarthy MI,Samani NJ,Scott J,Sehmi J,Silveira A,Hellánius ML,Van 'T Hooft FM,Olsson G,Rust S,Assmann G,Barlera S,Tognoni G,Franzosi MG,Linksted P,Green FR,Rasheed A,Zaidi M,Shah N,Samuel M","Bias (Epidemiology),Coronary Disease,Folic Acid,Genotype,Homocysteine,Humans,Methylenetetrahydrofolate Reductase (NADPH2),Polymorphism,Genetic,Risk Factors|ADAM Proteins,Adult,Aged,Asian Continental Ancestry Group,Case-Control Studies,Coronary Artery Disease,European Continental Ancestry Group,Female,Genetic Predisposition to Disease,Genome-Wide Association Study,Humans,Lymphokines,Male,Middle Aged,Oligonucleotide Array Sequence Analysis,Platelet-Derived Growth Factor,Polymorphism,Single Nucleotide,Quantitative Trait Loci,Sterol Esterase,Transcription Factors"
clme0237,lina0435,4,0.09899816591641875,Journal article|Journal article|Journal article|Journal article,Nature Genetics|Human Molecular Genetics|PLoS Genetics|Nature Genetics,18/05/2015|25/01/2014|01/12/2012|23/12/2012,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.|Clinical whole-genome sequencing in severe early-onset epilepsy reveals new genes and improves molecular diagnosis.|Recessive mutations in SPTBN2 implicate β-III spectrin in both cognitive and motor development.|Germline mutations affecting the proofreading domains of POLE and POLD1 predispose to colorectal adenomas and carcinomas.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G|Martin HC,Kim GE,Pagnamenta AT,Murakami Y,Carvill GL,Meyer E,Copley RR,Rimmer A,Barcia G,Fleming MR,Kronengold J,Brown MR,Hudspith KA,Broxholme J,Kanapin A,Cazier JB,Kinoshita T,Nabbout R,WGS500 Consortium,Bentley D,McVean G,Heavin S,Zaiwalla Z,McShane T,Mefford HC,Shears D,Stewart H,Kurian MA,Scheffer IE,Blair E,Donnelly P,Kaczmarek LK,Taylor JC|Lise S,Clarkson Y,Perkins E,Kwasniewska A,Sadighi Akha E,Schnekenberg RP,Suminaite D,Hope J,Baker I,Gregory L,Green A,Allan C,Lamble S,Jayawant S,Quaghebeur G,Cader MZ,Hughes S,Armstrong RJ,Kanapin A,Rimmer A,Lunter G,Mathieson I,Cazier JB,Buck D,Taylor JC,Bentley D,McVean G,Donnelly P,Knight SJ,Jackson M,Ragoussis J,Németh AH|Palles C,Cazier JB,Howarth KM,Domingo E,Jones AM,Broderick P,Kemp Z,Spain SL,Guarino E,Salguero I,Sherborne A,Chubb D,Carvajal-Carmona LG,Ma Y,Kaur K,Dobbins S,Barclay E,Gorman M,Martin L,Kovac MB,Humphray S,CORGI Consortium,WGS500 Consortium,Lucassen A,Holmes CC,Bentley D,Donnelly P,Taylor J,Petridis C,Roylance R,Sawyer EJ,Kerr DJ,Clark S,Grimes J,Kearsey SE,Thomas HJ,McVean G,Houlston RS,Tomlinson I","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing|Child,Preschool,Chromosomes,Human,Pair 9,Epilepsy,Genetic Predisposition to Disease,Genome-Wide Association Study,High-Throughput Nucleotide Sequencing,Humans,KCNQ2 Potassium Channel,Male,Membrane Proteins,Mutation,NAV1.2 Voltage-Gated Sodium Channel,Nerve Tissue Proteins,Pathology,Molecular,Potassium Channels,Proto-Oncogene Proteins c-cbl,Uniparental Disomy,Young Adult,WGS500 Consortium|Adult,Animals,Cerebellum,Chromosome Mapping,Cognition Disorders,Humans,Mice,Knockout,Mutation,Neurons,Purkinje Cells,Spectrin,Spinocerebellar Ataxias|Adenoma,Colorectal Neoplasms,DNA Mismatch Repair,DNA Polymerase II,DNA Polymerase III,DNA Replication,Exodeoxyribonucleases,Genetic Linkage,Genome-Wide Association Study,Germ-Line Mutation,Humans,Microsatellite Repeats,Models,Molecular,Pedigree,Schizosaccharomyces,Sequence Analysis,DNA"
bioc0212,chri0963,2,0.2857142857142857,Journal article|Conference paper,Proceedings of the National Academy of Sciences of USA|Biophysical Journal,19/02/2013|29/01/2013,Extramitochondrial domain rich in carbonic anhydrase activity improves myocardial energetics.|An Extra-Mitochondrial Domain Rich in Carbonic Anhydrase Activity Improves Myocardial Energetics,"Schroeder MA,Ali MA,Hulikova A,Supuran CT,Clarke K,Vaughan-Jones RD,Tyler DJ,Swietach P|Schroeder MA,Ali M,Hulikova A,Supuran CT,Clarke K,Vaughan-Jones RD,Tyler DJ,Swietach P","Adenosine Triphosphate,Animals,Carbon Dioxide,Carbonic Anhydrase II,Carbonic Anhydrase IV,Carbonic Anhydrases,Cell Compartmentation,Cytoplasm,Energy Metabolism,Fluorescent Dyes,Hydrogen-Ion Concentration,Kinetics,Male,Mitochondria,Heart,Myocytes,Cardiac,Rats,Wistar|"
ctsu0084,ctsu0165,1,0.02,Journal article,Lancet,01/01/2011,The effects of lowering LDL cholesterol with simvastatin plus ezetimibe in patients with chronic kidney disease (Study of Heart and Renal Protection): a randomised placebo-controlled trial.,"Baigent C,Landray MJ,Reith C,Emberson J,Wheeler DC,Tomson C,Wanner C,Krane V,Cass A,Craig J,Neal B,Jiang L,Hooi LS,Levin A,Agodoa L,Gaziano M,Kasiske B,Walker R,Massy ZA,Feldt-Rasmussen B,Krairittichai U,Ophascharoensuk V,Fellström B,Holdaas H,Tesar V,Wiecek A,Grobbee D,de Zeeuw D,Grönhagen-Riska C,Dasgupta T,Lewis D,Herrington W,Mafham M,Majoni W,Wallendszus K,Grimm R,Pedersen T,Tobert J,Armitage J,Baxter A,Bray C,Chen Y,Chen Z,Hill M,Knott C,Parish S,Simpson D,Sleight P,Young A,Collins R,SHARP Investigators","Adult,Aged,Azetidines,Cardiovascular Diseases,Cholesterol,LDL,Confidence Intervals,Dose-Response Relationship,Drug,Double-Blind Method,Drug Administration Schedule,Drug Therapy,Combination,Ezetimibe,Female,Follow-Up Studies,Humans,Hypolipidemic Agents,Kidney Function Tests,Male,Middle Aged,Reference Values,Renal Dialysis,Renal Insufficiency,Chronic,Risk Assessment,Severity of Illness Index,Simvastatin,Survival Analysis,Time Factors,Treatment Outcome"
card0027,stat0004,4,0.04327856042540906,Journal article|Journal article|Journal article|Journal article,Nature Genetics|Nature Genetics|Nature|Diabetes,01/01/2011|18/05/2015|10/12/2014|01/01/2011,A genome-wide association study in Europeans and South Asians identifies five new loci for coronary artery disease.|Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.|Exome sequencing identifies rare LDLR and APOA5 alleles conferring risk for myocardial infarction.|Genome-wide association identifies nine common variants associated with fasting proinsulin levels and provides new insights into the pathophysiology of type 2 diabetes,"Peden JF,Hopewell JC,Saleheen D,Chambers JC,Hager J,Soranzo N,Collins R,Danesh J,Elliott P,Farrall M,Stirrups K,Zhang W,Hamsten A,Parish S,Lathrop M,Watkins H,Clarke R,Deloukas P,Kooner JS,Goel A,Ongen H,Strawbridge RJ,Heath S,Mal̈arstig A,Helgadottir A,Öhrvik J,Murtaza M,Potter S,Hunt SE,Delepine M,Jalilzadeh S,Axelsson T,Syvanen AC,Gwilliam R,Bumpstead S,Gray E,Edkins S,Folkersen L,Kyriakou T,Franco-Cereceda A,Gabrielsen A,Seedorf U,Eriksson P,Offer A,Bowman L,Sleight P,Armitage J,Peto R,Abecasis G,Ahmed N,Caulfield M,Donnelly P,Froguel P,Kooner AS,McCarthy MI,Samani NJ,Scott J,Sehmi J,Silveira A,Hellánius ML,Van 'T Hooft FM,Olsson G,Rust S,Assmann G,Barlera S,Tognoni G,Franzosi MG,Linksted P,Green FR,Rasheed A,Zaidi M,Shah N,Samuel M|Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G|Do R,Stitziel NO,Won HH,Jørgensen AB,Duga S,Angelica Merlini P,Kiezun A,Farrall M,Goel A,Zuk O,Guella I,Asselta R,Lange LA,Peloso GM,Auer PL,Girelli D,Martinelli N,Farlow DN,DePristo MA,Roberts R,Stewart AF,Saleheen D,Danesh J,Epstein SE,Sivapalaratnam S,Hovingh GK,Kastelein JJ,Samani NJ,Schunkert H,Erdmann J,Shah SH,Kraus WE,Davies R,Nikpay M,Johansen CT,Wang J,Hegele RA,Hechter E,Marz W,Kleber ME,Huang J,Johnson AD,Li M,Burke GL,Gross M,Liu Y,Assimes TL,Heiss G,Lange EM,Folsom AR,Taylor HA,Olivieri O,Hamsten A,Clarke R,Reilly DF,Yin W,Rivas MA,Donnelly P,Rossouw JE,Psaty BM,Herrington DM,Wilson JG,Rich SS,Bamshad MJ,Tracy RP,Cupples LA,Rader DJ,Reilly MP,Spertus JA,Cresci S,Hartiala J,Tang WH,Hazen SL,Allayee H,Reiner AP,Carlson CS,Kooperberg C,Jackson RD,Boerwinkle E,Lander ES,Schwartz SM,Siscovick DS,McPherson R,Tybjaerg-Hansen A,Abecasis GR,Watkins H,Nickerson DA,Ardissino D,Sunyaev SR,O'Donnell CJ,Altshuler D,Gabriel S,Kathiresan S|Strawbridge RJ,Dupuis J,Prokopenko I,Barker A,Ahlqvist E,Rybin D,Petrie JR,Travers ME,Bouatia-Naji N,Dimas AS,Nica A,Wheeler E,Chen H,Voight BF,Taneera J,Kanoni S,Peden JF,Turrini F,Gustafsson S,Zabena C,Almgren P,Barker DJ,Barnes D,Dennison EM,Eriksson JG,Eriksson P,Eury E,Folkersen L,Fox CS,Frayling TM,Goel A,Gu HF,Horikoshi M,Isomaa B,Jackson AU,Jameson KA,Kajantie E,Kerr-Conte J,Kuulasmaa T,Kuusisto J,Loos RJ,Luan J,Makrilakis K,Manning AK,Martínez-Larrad MT,Narisu N,Nastase Mannila M,Ohrvik J,Osmond C,Pascoe L,Payne F,Sayer AA,Sennblad B,Silveira A,Stancáková A,Stirrups K,Swift AJ,Syvänen AC,Tuomi T,van 't Hooft FM,Walker M,Weedon MN,Xie W,Zethelius B,DIAGRAM Consortium,GIANT Consortium,MuTHER Consortium,CARDIoGRAM Consortium,C4D Consortium,Ongen H,Mälarstig A,Hopewell JC,Saleheen D,Chambers J,Parish S,Danesh J,Kooner J,Ostenson CG,Lind L,Cooper CC,Serrano-Ríos M,Ferrannini E,Forsen TJ,Clarke R,Franzosi MG,Seedorf U,Watkins H,Froguel P,Johnson P,Deloukas P,Collins FS,Laakso M,Dermitzakis ET,Boehnke M,McCarthy MI,Wareham NJ,Groop L,Pattou F,Gloyn AL,Dedoussis GV,Lyssenko V,Meigs JB,Barroso I,Watanabe RM,Ingelsson E,Langenberg C,Hamsten A,Florez JC","ADAM Proteins,Adult,Aged,Asian Continental Ancestry Group,Case-Control Studies,Coronary Artery Disease,European Continental Ancestry Group,Female,Genetic Predisposition to Disease,Genome-Wide Association Study,Humans,Lymphokines,Male,Middle Aged,Oligonucleotide Array Sequence Analysis,Platelet-Derived Growth Factor,Polymorphism,Single Nucleotide,Quantitative Trait Loci,Sterol Esterase,Transcription Factors|Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing|NHLBI Exome Sequencing Project,Humans,Myocardial Infarction,Genetic Predisposition to Disease,Triglycerides,Apolipoproteins A,Receptors,LDL,Case-Control Studies,Genetics,Population,Age Factors,Age of Onset,Heterozygote,Mutation,Alleles,Middle Aged,United States,Female,Male,Cholesterol,Coronary Artery Disease,National Heart,Lung,and Blood Institute (U.S.),Exome|Adult,Diabetes Mellitus,Type 2,Fasting,Female,Genetic Variation,Genome,Human,Genotype,Humans,Insulin,Male,Polymorphism,Single Nucleotide,Proinsulin"
card0008,card0025,1,0.125,Journal article,Journal of Biological Chemistry,21/08/2013,A pivotal role for tryptophan 447 in enzymatic coupling of human endothelial nitric oxide synthase (eNOS): effects on tetrahydrobiopterin-dependent catalysis and eNOS dimerization.,"Benson MA,Batchelor H,Chuaiphichai S,Bailey J,Zhu H,Stuehr DJ,Bhattacharya S,Channon KM,Crabtree MJ","Endothelial Dysfunction,Nitric Oxide Synthase,Superoxide,Superoxide Ion,Tetrahydrobiopterin,Tryptophan,Uncoupling,3T3 Cells,Amino Acid Substitution,Animals,Binding Sites,Biocatalysis,Biopterin,Blotting,Western,Catalytic Domain,Humans,Mice,Models,Molecular,Mutation,Nitric Oxide,Nitric Oxide Synthase Type III,Oxidation-Reduction,Protein Multimerization,Superoxides"
